"","FileName","frogID","begin.time.s","end.time.s","Note_type","note.dur.s","INI","note.period","note_num_series","call_type","series_type","series_seq","note_type_uc","note_type_relabel","call_type_relabel","series_bin","note_num_series_bin","series_seq_cat"
"3308","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,195.0163011,195.0615706,"2",0.0453,1.8383212,1.8835907,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3309","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,196.8998918,196.9149177,"1",0.015,0.0656778,0.0807037,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3310","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,196.9805955,197.027469,"2",0.0469,1.4155899,1.4624634,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3311","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,198.4430589,198.4578101,"1",0.0148,0.0670206,0.0817718,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3312","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,198.5248307,198.5727061,"2",0.0479,0.2274084,0.2752838,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3313","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,198.8001145,198.8135759,"1",0.0135,0.0655792,0.0790406,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3314","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,198.8791551,198.9170742,"2",0.0379,27.4876393,27.5255584,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3315","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,226.4047135,226.416143,"1",0.0114,0.0653375,0.076767,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3316","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,226.4814805,226.5219039,"2",0.0404,1.9515047,1.9919281,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3317","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,228.4734086,228.4862119,"1",0.0128,0.0628345,0.0756378,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3318","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,228.5490464,228.5931659,"2",0.0441,1.7336668,1.7777863,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3319","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,230.3268327,230.3398471,"1",0.013,0.0643782,0.0773926,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3320","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,230.4042253,230.4504064,"2",0.0462,1.5190502,1.5652313,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3321","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,231.9694566,231.9832549,"1",0.0138,0.0634569,0.0772552,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3322","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,232.0467118,232.0943921,"2",0.0477,1.8267399,1.8744202,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3323","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,233.921132,233.9353829,"1",0.0143,0.0632637,0.0775146,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3324","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,233.9986466,234.0450656,"2",0.0464,9.1013153,9.1477343,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3325","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,243.1463809,243.1537751,"1",0.0074,0.066658,0.0740522,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3326","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,243.2204331,243.2711502,"2",0.0507,1.9304841,1.9812012,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3327","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,245.2016343,245.2155539,"1",0.0139,0.0633509,0.0772705,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3328","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,245.2789048,245.3279709,"2",0.0491,3.1777863,3.2268524,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3329","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,248.5057572,248.5196724,"1",0.0139,0.0616616,0.0755768,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3330","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,248.581334,248.6266417,"2",0.0453,1.5736346,1.6189423,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3331","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,250.2002763,250.2156111,"1",0.0153,0.0607608,0.0760956,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3332","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,250.2763719,250.3230743,"2",0.0467,1.4839372,1.5306396,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3333","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,251.8070115,251.8223953,"1",0.0154,0.0644807,0.0798645,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3334","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,251.886876,251.9331933,"2",0.0463,1.5264061,1.5727234,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3335","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,253.4595994,253.4758261,"1",0.0162,0.0624781,0.0787048,1,"doublet","three",1,"1","1","doublet","3","1","1"
"3336","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,253.5383042,253.5892096,"2",0.0509,0.2021922,0.2530976,2,"doublet","three",1,"2","2","doublet","3","2","1"
