Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
355	Spectrogram 1	1	215.8837937	215.9241688	0	22050	0.0404	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	three	1	1	178	
356	Spectrogram 1	1	216.1304521	216.1465037	0	22050	0.0161	2583.984		2411.719	2583.984	2670.117	2756.25	1	doublet	three	2	1	179	
357	Spectrogram 1	1	216.1994981	216.2337557	0	22050	0.0343	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	three	2	1	179	
358	Spectrogram 1	1	216.4982957	216.5142613	0	22050	0.016	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	three	3	1	180	
359	Spectrogram 1	1	216.565236	216.598834	0	22050	0.0336	2670.117		2497.852	2583.984	2756.25	2756.25	2	doublet	three	3	1	180	
360	Spectrogram 1	1	217.8222245	217.8399165	0	22050	0.0177	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	two	1	1	181	
361	Spectrogram 1	1	217.9036912	217.9438713	0	22050	0.0402	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	1	1	181	
362	Spectrogram 1	1	218.1480302	218.1639844	0	22050	0.016	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	two	2	1	182	
363	Spectrogram 1	1	218.2183274	218.253425	0	22050	0.0351	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	182	
364	Spectrogram 1	1	219.6375321	219.6544023	0	22050	0.0169	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	two	1	1	183	
365	Spectrogram 1	1	219.7142838	219.7567833	0	22050	0.0425	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	1	1	183	
366	Spectrogram 1	1	219.9435777	219.9595988	0	22050	0.016	2583.984		2497.852	2497.852	2670.117	2756.25	1	doublet	two	2	1	184	
367	Spectrogram 1	1	220.0120439	220.0470165	0	22050	0.035	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	184	
368	Spectrogram 1	1	221.0445756	221.061288	0	22050	0.0167	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	two	1	1	185	
369	Spectrogram 1	1	221.1116838	221.1511412	0	22050	0.0395	2670.117		2497.852	2583.984	2756.25	2842.383	2	doublet	two	1	1	185	
370	Spectrogram 1	1	221.3342179	221.351088	0	22050	0.0169	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	two	2	1	186	
371	Spectrogram 1	1	221.4045304	221.4391646	0	22050	0.0346	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	186	
372	Spectrogram 1	1	223.8315629	223.8497945	0	22050	0.0182	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	187	
373	Spectrogram 1	1	223.9050492	223.9457842	0	22050	0.0407	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	1	187	
374	Spectrogram 1	1	226.9527635	226.9697942	0	22050	0.017	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	188	
375	Spectrogram 1	1	227.0358476	227.0773649	0	22050	0.0415	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	188	
376	Spectrogram 1	1	229.4531297	229.4701028	0	22050	0.017	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	189	
377	Spectrogram 1	1	229.5370988	229.5759382	0	22050	0.0388	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	189	
378	Spectrogram 1	1	231.4204148	231.4384017	0	22050	0.018	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	190	
379	Spectrogram 1	1	231.497548	231.5385348	0	22050	0.041	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	190	
380	Spectrogram 1	1	234.2786607	234.2969748	0	22050	0.0183	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	191	
381	Spectrogram 1	1	234.3588456	234.4000291	0	22050	0.0412	2670.117		2497.852	2670.117	2756.25	2842.383	2	doublet	solo	0	1	191	
382	Spectrogram 1	1	236.2965592	236.3145027	0	22050	0.0179	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	192	
383	Spectrogram 1	1	236.3807878	236.4238053	0	22050	0.043	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	192	
384	Spectrogram 1	1	237.995427	238.0138757	0	22050	0.0184	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	193	
385	Spectrogram 1	1	238.0752152	238.1153371	0	22050	0.0401	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	1	193	
386	Spectrogram 1	1	239.9264573	239.9427344	0	22050	0.0163	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	two	1	1	194	
387	Spectrogram 1	1	240.0052384	240.047174	0	22050	0.0419	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	1	1	194	
388	Spectrogram 1	1	240.2491807	240.2667895	0	22050	0.0176	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	two	2	1	195	
389	Spectrogram 1	1	240.3218583	240.3575766	0	22050	0.0357	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	195	
390	Spectrogram 1	1	242.2298478	242.2468705	0	22050	0.017	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	196	
391	Spectrogram 1	1	242.310048	242.3535768	0	22050	0.0435	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	196	
392	Spectrogram 1	1	243.8719987	243.8897365	0	22050	0.0177	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	two	1	1	197	
393	Spectrogram 1	1	243.9538926	243.9954571	0	22050	0.0416	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	1	1	197	
394	Spectrogram 1	1	244.1974381	244.2147369	0	22050	0.0173	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	two	2	1	198	
395	Spectrogram 1	1	244.2667588	244.301126	0	22050	0.0344	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	2	1	198	
396	Spectrogram 1	1	245.6321763	245.6488987	0	22050	0.0167	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	two	1	1	199	
397	Spectrogram 1	1	245.7111863	245.7528882	0	22050	0.0417	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	two	1	1	199	
398	Spectrogram 1	1	245.9543962	245.9717018	0	22050	0.0173	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	two	2	1	200	
399	Spectrogram 1	1	246.0279435	246.0624147	0	22050	0.0345	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	two	2	1	200	
400	Spectrogram 1	1	247.5059251	247.5224623	0	22050	0.0165	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	two	1	1	201	
401	Spectrogram 1	1	247.5834245	247.6265156	0	22050	0.0431	2583.984		2583.984	2583.984	2670.117	2756.25	2	doublet	two	1	1	201	
402	Spectrogram 1	1	247.8191575	247.834836	0	22050	0.0157	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	two	2	1	202	
