Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
66	Waveform 1	1	146.1540869	146.199385	0	22050	0.0453		21477					1	doublet	solo	0	5	25	
67	Waveform 1	1	147.8973425	147.9133987	0	22050	0.0161		11102					2	doublet	solo	0	5	26	
68	Waveform 1	1	147.9707525	148.0142672	0	22050	0.0435		19556					1	doublet	solo	0	5	26	
69	Waveform 1	1	149.577915	149.5941456	0	22050	0.0162		12976					2	doublet	solo	0	5	27	
70	Waveform 1	1	149.6488226	149.6896595	0	22050	0.0408		19722					1	doublet	solo	0	5	27	
71	Waveform 1	1	151.9422949	151.9589703	0	22050	0.0167		12891					2	doublet	solo	0	5	28	
72	Waveform 1	1	152.0207251	152.0640784	0	22050	0.0434		20848					1	doublet	solo	0	5	28	
73	Waveform 1	1	153.9839056	153.9997318	0	22050	0.0158		11462					2	doublet	solo	0	5	29	
74	Waveform 1	1	154.0593908	154.0993956	0	22050	0.04		19933					1	doublet	solo	0	5	29	
75	Waveform 1	1	155.6993597	155.7154289	0	22050	0.0161		13198					2	doublet	solo	0	5	30	
76	Waveform 1	1	155.7772558	155.8199871	0	22050	0.0427		20563					1	doublet	solo	0	5	30	
77	Waveform 1	1	157.1134527	157.1299521	0	22050	0.0165		13253					2	doublet	solo	0	5	31	
78	Waveform 1	1	157.1916998	157.2366282	0	22050	0.0449		20989					1	doublet	solo	0	5	31	
79	Waveform 1	1	158.4716833	158.4873951	0	22050	0.0157		11227					2	doublet	solo	0	5	32	
80	Waveform 1	1	158.5445135	158.5902717	0	22050	0.0458		19528					1	doublet	solo	0	5	32	
81	Waveform 1	1	160.4288214	160.4449827	0	22050	0.0162		13045					2	doublet	solo	0	5	33	
82	Waveform 1	1	160.5113562	160.554578	0	22050	0.0432		21378					1	doublet	solo	0	5	33	
83	Waveform 1	1	161.9745062	161.9907661	0	22050	0.0163		13843					2	doublet	solo	0	5	34	
84	Waveform 1	1	162.0539892	162.0964769	0	22050	0.0425		20841					1	doublet	solo	0	5	34	
85	Waveform 1	1	163.3223608	163.3387663	0	22050	0.0164		14154					2	doublet	solo	0	5	35	
86	Waveform 1	1	163.4041479	163.4468164	0	22050	0.0427		21200					1	doublet	two	1	5	35	
87	Waveform 1	1	163.6512182	163.6667135	0	22050	0.0155		12553					2	doublet	two	1	5	36	
88	Waveform 1	1	163.7165564	163.7450215	0	22050	0.0285		17037					1	doublet	two	2	5	36	
89	Waveform 1	1	165.4561956	165.4739444	0	22050	0.0177		13519					2	doublet	two	2	5	37	
90	Waveform 1	1	165.5391577	165.5828392	0	22050	0.0437		21007					1	doublet	solo	0	5	37	
91	Waveform 1	1	167.4223822	167.4372994	0	22050	0.0149		14205					2	doublet	solo	0	5	38	
92	Waveform 1	1	167.5045507	167.5489864	0	22050	0.0444		20945					1	doublet	solo	0	5	38	
94	Waveform 1	1	89.98234341	89.99608951	0	22050	0.0137		5942					2	doublet	solo	0	3	11	
