Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
156	Spectrogram 1	1	256.2898454	256.3270055	0	22050	0.0372	2497.852		2325.586	2497.852	2583.984	2670.117	1	doublet	two	2	4	64	
157	Spectrogram 1	1	256.5640763	256.5768963	0	22050	0.0128	2411.719		2325.586	2325.586	2411.719	2497.852	2	doublet	two	2	4	65	
158	Spectrogram 1	1	256.6371964	256.6753356	0	22050	0.0381	2497.852		2325.586	2411.719	2497.852	2670.117	3	solo	solo	0	4	65	
159	Spectrogram 1	1	258.8219193	258.8361417	0	22050	0.0142	2411.719		2325.586	2325.586	2411.719	2497.852	1	doublet	three	1	4	66	
160	Spectrogram 1	1	258.9027299	258.9520052	0	22050	0.0493	2497.852		2411.719	2497.852	2583.984	2583.984	2	doublet	three	1	4	66	
161	Spectrogram 1	1	259.1488847	259.1623549	0	22050	0.0135	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	three	2	4	67	
162	Spectrogram 1	1	259.2227372	259.2609419	0	22050	0.0382	2497.852		2411.719	2497.852	2497.852	2583.984	2	doublet	three	2	4	67	
163	Spectrogram 1	1	260.7074174	260.7217554	0	22050	0.0143	2325.586		2153.32	2325.586	2411.719	2583.984	1	doublet	three	3	4	68	
164	Spectrogram 1	1	260.7817277	260.8254861	0	22050	0.0438	2497.852		2325.586	2411.719	2497.852	2583.984	2	doublet	three	3	4	68	
165	Spectrogram 1	1	261.0136613	261.0274303	0	22050	0.0138	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	1	4	69	
166	Spectrogram 1	1	261.086873	261.1217305	0	22050	0.0349	2497.852		2411.719	2411.719	2497.852	2583.984	2	doublet	two	1	4	69	
40	Spectrogram 1	1	52.5876626	52.60092044	0	22050	0.0133	2411.719		2325.586	2411.719	2497.852	2497.852	1	doublet	two	2	2	7	
41	Spectrogram 1	1	52.66124811	52.70376109	0	22050	0.0425	2583.984		2411.719	2497.852	2583.984	2670.117	2	doublet	two	2	2	7	
167	Spectrogram 1	1	262.8280839	262.8421034	0	22050	0.014	2411.719		2325.586	2325.586	2411.719	2497.852	1	doublet	two	1	4	70	
168	Spectrogram 1	1	262.9048051	262.9480664	0	22050	0.0433	2497.852		2411.719	2411.719	2497.852	2583.984	2	doublet	two	1	4	70	
169	Spectrogram 1	1	263.1374406	263.1517461	0	22050	0.0143	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	2	4	71	
170	Spectrogram 1	1	263.21111	263.2446198	0	22050	0.0335	2497.852		2411.719	2497.852	2497.852	2583.984	2	doublet	two	2	4	71	
171	Spectrogram 1	1	267.5616349	267.5776327	0	22050	0.016	2411.719		2239.453	2325.586	2497.852	2583.984	1	doublet	two	1	4	72	
172	Spectrogram 1	1	267.6423234	267.6838511	0	22050	0.0415	2497.852		2411.719	2497.852	2583.984	2583.984	2	doublet	two	1	4	72	
173	Spectrogram 1	1	270.0527543	270.067114	0	22050	0.0144	2411.719		2239.453	2325.586	2411.719	2583.984	1	doublet	two	2	4	73	
174	Spectrogram 1	1	270.1294145	270.1720432	0	22050	0.0426	2497.852		2411.719	2497.852	2497.852	2583.984	2	doublet	two	2	4	73	
175	Spectrogram 1	1	272.1555375	272.1697224	0	22050	0.0142	2411.719		2325.586	2325.586	2411.719	2497.852	1	doublet	solo	0	4	74	
176	Spectrogram 1	1	272.2342423	272.2783148	0	22050	0.0441	2497.852		2325.586	2411.719	2497.852	2583.984	2	doublet	solo	0	4	74	
177	Spectrogram 1	1	273.8596391	273.8741818	0	22050	0.0145	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	4	75	
178	Spectrogram 1	1	273.9388627	273.982597	0	22050	0.0437	2497.852		2411.719	2497.852	2583.984	2583.984	2	doublet	solo	0	4	75	
179	Spectrogram 1	1	275.5924882	275.6075325	0	22050	0.015	2411.719		2325.586	2325.586	2411.719	2497.852	1	doublet	solo	0	4	76	
180	Spectrogram 1	1	275.6709794	275.7166546	0	22050	0.0457	2497.852		2411.719	2411.719	2583.984	2670.117	2	doublet	solo	0	4	76	
181	Spectrogram 1	1	277.4933671	277.5077312	0	22050	0.0144	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	solo	0	4	77	
182	Spectrogram 1	1	277.5717057	277.6136301	0	22050	0.0419	2497.852		2411.719	2497.852	2497.852	2583.984	2	doublet	solo	0	4	77	
183	Spectrogram 1	1	277.8730668	277.8875968	0	22050	0.0145	2411.719		2239.453	2325.586	2497.852	2583.984	1	doublet	solo	0	4	78	
184	Spectrogram 1	1	277.9471635	277.9825856	0	22050	0.0354	2497.852		2325.586	2411.719	2497.852	2670.117	2	doublet	solo	0	4	78	
185	Spectrogram 1	1	279.6277665	279.6418934	0	22050	0.0141	2325.586		2239.453	2325.586	2411.719	2411.719	1	doublet	two	1	4	79	
186	Spectrogram 1	1	279.7099198	279.7549364	0	22050	0.045	2411.719		2325.586	2411.719	2497.852	2583.984	2	doublet	two	1	4	79	
42	Spectrogram 1	1	54.47081083	54.48493895	0	22050	0.0141	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	2	2	8	
43	Spectrogram 1	1	54.54895868	54.5901825	0	22050	0.0412	2497.852		2411.719	2497.852	2583.984	2670.117	2	doublet	two	2	2	8	
187	Spectrogram 1	1	279.937581	279.9508942	0	22050	0.0133	2411.719		2153.32	2325.586	2411.719	2497.852	1	doublet	two	1	4	80	
188	Spectrogram 1	1	280.0111588	280.0488599	0	22050	0.0377	2497.852		2411.719	2411.719	2497.852	2583.984	2	doublet	two	1	4	80	
189	Spectrogram 1	1	281.9763383	281.9897125	0	22050	0.0134	2325.586		2153.32	2325.586	2411.719	2497.852	1	doublet	two	2	4	81	
190	Spectrogram 1	1	282.0529984	282.0952763	0	22050	0.0423	2497.852		2411.719	2411.719	2497.852	2583.984	2	doublet	two	2	4	81	
191	Spectrogram 1	1	282.3513383	282.3652313	0	22050	0.0139	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	1	4	82	
192	Spectrogram 1	1	282.4286088	282.4649686	0	22050	0.0364	2497.852		2325.586	2411.719	2583.984	2670.117	2	doublet	two	1	4	82	
44	Spectrogram 1	1	56.38190546	56.3957056	0	22050	0.0138	2411.719		2239.453	2325.586	2411.719	2497.852	1	doublet	two	2	2	9	
45	Spectrogram 1	1	56.45855036	56.50153698	0	22050	0.043	2497.852		2325.586	2411.719	2497.852	2583.984	2	doublet	two	2	2	9	
29	Waveform 1	1	21.49856631	21.51069202	0	22050	0.0121		10283					1	doublet	solo	0	1	1	
30	Waveform 1	1	21.57462587	21.62148697	0	22050	0.0469		24284					2	doublet	solo	0	1	1	
46	Waveform 1	1	57.9934701	58.00755949	0	22050	0.0141		18912					1	doublet	solo	0	2	10	
47	Waveform 1	1	58.07374277	58.1200835	0	22050	0.0463		28217					2	doublet	solo	0	2	10	
48	Waveform 1	1	59.91446772	59.92854566	0	22050	0.0141		18565					11	solo	solo	0	2	11	
49	Waveform 1	1	59.99387827	60.03890813	0	22050	0.045		28805					1	doublet	solo	0	2	11	
50	Waveform 1	1	61.92426386	61.93934172	0	22050	0.0151		17591					2	doublet	solo	0	2	12	
51	Waveform 1	1	62.0008172	62.04102059	0	22050	0.0402		27358					1	doublet	solo	0	2	12	
52	Waveform 1	1	64.38770762	64.4022808	0	22050	0.0146		18574					2	doublet	solo	0	2	13	
53	Waveform 1	1	64.46639719	64.50953764	0	22050	0.0431		27543					1	doublet	solo	0	2	13	
54	Waveform 1	1	66.58964376	66.60366063	0	22050	0.014		16797					2	doublet	solo	0	2	14	
55	Waveform 1	1	66.66707316	66.70768343	0	22050	0.0406		27555					1	doublet	solo	0	2	14	
56	Waveform 1	1	68.54369822	68.5575098	0	22050	0.0138		18632					2	doublet	solo	0	2	15	
57	Waveform 1	1	68.62190714	68.6643229	0	22050	0.0424		27526					1	doublet	solo	0	2	15	
58	Waveform 1	1	70.98471537	70.99875583	0	22050	0.014		17757					2	doublet	solo	0	2	16	
59	Waveform 1	1	71.06496897	71.10494796	0	22050	0.04		27565					1	doublet	solo	0	2	16	
60	Waveform 1	1	72.64868631	72.6615933	0	22050	0.0129		20115					2	doublet	solo	0	2	17	
61	Waveform 1	1	72.72691813	72.76834083	0	22050	0.0414		28086					1	doublet	solo	0	2	17	
62	Waveform 1	1	77.11683822	77.12651654	0	22050	0.0097		5780					2	doublet	solo	0	2	18	
63	Waveform 1	1	77.19237986	77.23461694	0	22050	0.0422		21813					1	doublet	solo	0	2	18	
69	Waveform 1	1	147.586423	147.6323616	0	22050	0.0459		12560					2	doublet	solo	0	3	19	
31	Waveform 1	1	23.71354654	23.72578349	0	22050	0.0122		10576					1	doublet	solo	0	1	2	
32	Waveform 1	1	23.78841295	23.83207024	0	22050	0.0437		22905					2	doublet	solo	0	1	2	
70	Waveform 1	1	149.4582566	149.5029153	0	22050	0.0447		22832					1	doublet	solo	0	3	20	
71	Waveform 1	1	151.3305711	151.3796472	0	22050	0.0491		24516					2	doublet	solo	0	3	21	
72	Waveform 1	1	152.8386888	152.8513754	0	22050	0.0127		14615					1	doublet	solo	0	3	22	
73	Waveform 1	1	152.9193925	152.9632153	0	22050	0.0438		29578					2	doublet	solo	0	3	22	
74	Waveform 1	1	154.7799272	154.7936809	0	22050	0.0138		16694					1	doublet	solo	0	3	23	
75	Waveform 1	1	154.8585252	154.899307	0	22050	0.0408		29314					2	doublet	solo	0	3	23	
76	Waveform 1	1	156.6894578	156.7019185	0	22050	0.0125		13127					1	doublet	solo	0	3	24	
77	Waveform 1	1	156.7660722	156.8087288	0	22050	0.0427		29135					2	doublet	solo	0	3	24	
78	Waveform 1	1	158.5660752	158.5792636	0	22050	0.0132		20511					1	doublet	solo	0	3	25	
79	Waveform 1	1	158.6418809	158.6878168	0	22050	0.0459		30569					2	doublet	solo	0	3	25	
80	Waveform 1	1	161.0457353	161.0589994	0	22050	0.0133		17528					1	doublet	solo	0	3	26	
81	Waveform 1	1	161.1251878	161.1674945	0	22050	0.0423		30605					2	doublet	solo	0	3	26	
82	Waveform 1	1	163.1857194	163.1987317	0	22050	0.013		17690					11	solo	solo	0	3	27	
83	Waveform 1	1	163.2596177	163.3005164	0	22050	0.0409		29123					12	solo	solo	0	3	27	
84	Waveform 1	1	164.7735337	164.7875345	0	22050	0.014		20627					11	solo	solo	0	3	28	
85	Waveform 1	1	164.852971	164.8952842	0	22050	0.0423		31113					1	doublet	solo	0	3	28	
86	Waveform 1	1	166.3441667	166.3598756	0	22050	0.0157		21383					2	doublet	solo	0	3	29	
87	Waveform 1	1	166.4267625	166.4714035	0	22050	0.0446		31629					1	doublet	solo	0	3	29	
33	Waveform 1	1	45.40415221	45.45449152	0	22050	0.0503		8439					2	doublet	solo	0	2	3	
88	Waveform 1	1	167.852498	167.8665755	0	22050	0.0141		23471					1	doublet	solo	0	3	30	
89	Waveform 1	1	167.9323625	167.9783876	0	22050	0.046		32105					2	doublet	solo	0	3	30	
90	Waveform 1	1	170.4012193	170.4134966	0	22050	0.0123		17651					1	doublet	solo	0	3	31	
91	Waveform 1	1	170.4814347	170.5233071	0	22050	0.0419		30296					2	doublet	solo	0	3	31	
92	Waveform 1	1	172.6691178	172.6828826	0	22050	0.0138		19365					1	doublet	solo	0	3	32	
93	Waveform 1	1	172.7468308	172.7877253	0	22050	0.0409		30402					2	doublet	solo	0	3	32	
94	Waveform 1	1	174.3733109	174.389409	0	22050	0.0161		24756					1	doublet	solo	0	3	33	
95	Waveform 1	1	174.4543504	174.4977265	0	22050	0.0434		32222					2	doublet	solo	0	3	33	
96	Waveform 1	1	174.7282304	174.7417697	0	22050	0.0135		27625					1	doublet	solo	0	3	34	
97	Waveform 1	1	174.8077134	174.8460441	0	22050	0.0383		32211					2	doublet	solo	0	3	34	
98	Waveform 1	1	175.4701849	175.568748	0	22050	0.0986		5925					1	doublet	solo	0	3	35	
100	Waveform 1	1	176.9322251	176.9475149	0	22050	0.0153		28957					2	doublet	solo	0	3	36	
101	Waveform 1	1	177.0165605	177.0687175	0	22050	0.0522		32766					1	doublet	solo	0	3	36	
102	Waveform 1	1	177.2563676	177.2732438	0	22050	0.0169		27178					2	doublet	solo	0	3	37	
103	Waveform 1	1	177.3324479	177.3678985	0	22050	0.0355		31821					1	doublet	solo	0	3	37	
104	Waveform 1	1	179.156865	179.1718113	0	22050	0.0149		26088					2	doublet	solo	0	3	38	
105	Waveform 1	1	179.2399339	179.2895995	0	22050	0.0497		32508					1	doublet	solo	0	3	38	
106	Waveform 1	1	179.4724931	179.4854465	0	22050	0.013		25834					2	doublet	solo	0	3	39	
107	Waveform 1	1	179.5466966	179.583303	0	22050	0.0366		31950					1	doublet	three	1	3	39	
34	Waveform 1	1	47.12941476	47.14020553	0	22050	0.0108		6096					2	doublet	three	1	2	4	
35	Waveform 1	1	47.20226755	47.24482631	0	22050	0.0426		20360					1	doublet	three	2	2	4	
108	Waveform 1	1	181.3861436	181.4006723	0	22050	0.0145		27705					2	doublet	three	2	3	40	
109	Waveform 1	1	181.4694108	181.5175392	0	22050	0.0481		32354					3	solo	three	3	3	40	
110	Waveform 1	1	181.71671	181.7295826	0	22050	0.0129		24737					1	doublet	two	1	3	41	
111	Waveform 1	1	181.790471	181.8286801	0	22050	0.0382		31482					2	doublet	two	1	3	41	
112	Waveform 1	1	186.6851548	186.6972074	0	22050	0.0121		15960					1	doublet	two	2	3	42	
113	Waveform 1	1	186.7639665	186.8081064	0	22050	0.0441		29322					2	doublet	two	2	3	42	
114	Waveform 1	1	189.1435899	189.1584014	0	22050	0.0148		17720					1	doublet	two	1	3	43	
115	Waveform 1	1	189.2218369	189.2627245	0	22050	0.0409		30213					2	doublet	two	1	3	43	
116	Waveform 1	1	191.1921281	191.2065252	0	22050	0.0144		21259					1	doublet	two	2	3	44	
117	Waveform 1	1	191.2705277	191.3115418	0	22050	0.041		31331					2	doublet	two	2	3	44	
